,text,labels
11,"the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule. the approach hereby presented is of remarkable simplicity, has been successfully applied to spin   and can be further extended to include the larger class of models admitting partition functions of the form (4) to be used to extend to the critical region general equations of state of the form (7) including a class virial expansions.","[0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
12,this work shows how our approach based on the combination of statistical mechanics and nonlinear pdes theory provides us with a novel and powerful tool to tackle phase transitions. this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
13,"this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"(9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule. the approach hereby presented is of remarkable simplicity, has been successfully applied to spin   and can be further extended to include the larger class of models admitting partition functions of the form (4) to be used to extend to the critical region general equations of state of the form (7) including a class virial expansions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
16,"this work shows how our approach based on the combination of statistical mechanics and nonlinear pdes theory provides us with a novel and powerful tool to tackle phase transitions. this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule. the approach hereby presented is of remarkable simplicity, has been successfully applied to spin   and can be further extended to include the larger class of models admitting partition functions of the form (4) to be used to extend to the critical region general equations of state of the form (7) including a class virial expansions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
19,"this work shows how our approach based on the combination of statistical mechanics and nonlinear pdes theory provides us with a novel and powerful tool to tackle phase transitions. this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule. the approach hereby presented is of remarkable simplicity, has been successfully applied to spin   and can be further extended to include the larger class of models admitting partition functions of the form (4) to be used to extend to the critical region general equations of state of the form (7) including a class virial expansions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
21,"this work shows how our approach based on the combination of statistical mechanics and nonlinear pdes theory provides us with a novel and powerful tool to tackle phase transitions. this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule. the approach hereby presented is of remarkable simplicity, has been successfully applied to spin   and can be further extended to include the larger class of models admitting partition functions of the form (4) to be used to extend to the critical region general equations of state of the form (7) including a class virial expansions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
22,"we use open and close aperture z-scan experiments, in analogy to the saturation absorption work discussed earlier in water .","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0]"
23,the transient thermal effects of individual pulses accumulate in case of high repetition-rate lasers to produce a cumulative thermal effect at longer timescales.,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 2, 2, 2, 0, 0, 0]"
24,we measure this cumulative thermal effect with the mode-mismatched two-color pump–probe experiment.,"[0, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
25,"we use open and close aperture z-scan experiments, in analogy to the saturation absorption work discussed earlier in water . the transient thermal effects of individual pulses accumulate in case of high repetition-rate lasers to produce a cumulative thermal effect at longer timescales.","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 2, 2, 2, 0, 0, 0]"
26,the transient thermal effects of individual pulses accumulate in case of high repetition-rate lasers to produce a cumulative thermal effect at longer timescales. we measure this cumulative thermal effect with the mode-mismatched two-color pump–probe experiment.,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
27,"we use open and close aperture z-scan experiments, in analogy to the saturation absorption work discussed earlier in water . the transient thermal effects of individual pulses accumulate in case of high repetition-rate lasers to produce a cumulative thermal effect at longer timescales. we measure this cumulative thermal effect with the mode-mismatched two-color pump–probe experiment.","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
28,the control of the rp re-encounter probability finds a direct application to improve the performance of chemical devices.,"[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"here, we show how a simple-to-implement control scheme highly enhances the sensitivity of a model chemical magnetometer by up to two orders of magnitude.","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0]"
30,"the basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate b.","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0]"
31,"intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield.","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
32,"formally, it is defined as:(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt,with gs(b,t)≡∂fs(b,t)∂b being the instantaneous magnetic sensitivity.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"the functional form of fs(b,t)=sρel(t)s strongly depends on the specific realization of the radical pair, in particular on the number of the surrounding nuclear spins.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"here, we consider a radical pair in which the first electron spin is devoid of hyperfine interactions, while the second electron spin interacts isotropically with one spin-1 nucleus, e.g. nitrogen.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0]"
35,"in the context of the chemical compass (i.e. when the task is determining the magnetic field direction through anisotropic hyperfine interactions), an analogous configuration (with only one spin-1/2 nucleus) has been proposed , as being optimal: additional nuclear spins would perturb the intuitive ‘reference and probe’ picture.","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"the hamiltonian then simplifies to h=-γeb(s1(z)+s2(z))+|γe|αs→2·i→, where α is the isotropic hyperfine coupling.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"the control of the rp re-encounter probability finds a direct application to improve the performance of chemical devices. here, we show how a simple-to-implement control scheme highly enhances the sensitivity of a model chemical magnetometer by up to two orders of magnitude.","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0]"
38,"here, we show how a simple-to-implement control scheme highly enhances the sensitivity of a model chemical magnetometer by up to two orders of magnitude. the basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate b.","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0]"
39,"the basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate b. intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield.","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
40,"intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield. formally, it is defined as:(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt,with gs(b,t)≡∂fs(b,t)∂b being the instantaneous magnetic sensitivity.","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"formally, it is defined as:(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt,with gs(b,t)≡∂fs(b,t)∂b being the instantaneous magnetic sensitivity. the functional form of fs(b,t)=sρel(t)s strongly depends on the specific realization of the radical pair, in particular on the number of the surrounding nuclear spins.","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"the functional form of fs(b,t)=sρel(t)s strongly depends on the specific realization of the radical pair, in particular on the number of the surrounding nuclear spins. here, we consider a radical pair in which the first electron spin is devoid of hyperfine interactions, while the second electron spin interacts isotropically with one spin-1 nucleus, e.g. nitrogen.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0]"
43,"here, we consider a radical pair in which the first electron spin is devoid of hyperfine interactions, while the second electron spin interacts isotropically with one spin-1 nucleus, e.g. nitrogen. in the context of the chemical compass (i.e. when the task is determining the magnetic field direction through anisotropic hyperfine interactions), an analogous configuration (with only one spin-1/2 nucleus) has been proposed , as being optimal: additional nuclear spins would perturb the intuitive ‘reference and probe’ picture.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"in the context of the chemical compass (i.e. when the task is determining the magnetic field direction through anisotropic hyperfine interactions), an analogous configuration (with only one spin-1/2 nucleus) has been proposed , as being optimal: additional nuclear spins would perturb the intuitive ‘reference and probe’ picture. the hamiltonian then simplifies to h=-γeb(s1(z)+s2(z))+|γe|αs→2·i→, where α is the isotropic hyperfine coupling.","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"the control of the rp re-encounter probability finds a direct application to improve the performance of chemical devices. here, we show how a simple-to-implement control scheme highly enhances the sensitivity of a model chemical magnetometer by up to two orders of magnitude. the basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate b.","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0]"
46,"here, we show how a simple-to-implement control scheme highly enhances the sensitivity of a model chemical magnetometer by up to two orders of magnitude. the basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate b. intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield.","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
47,"the basic idea behind a chemical magnetometer is that, since a change in the magnetic field modifies the amount of singlet products, one can reverse the reasoning and measure the chemical yield to estimate b. intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield. formally, it is defined as:(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt,with gs(b,t)≡∂fs(b,t)∂b being the instantaneous magnetic sensitivity.","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"intuitively, the magnetic sensitivity is high when a small change in the magnetic field intensity produces large effects on the singlet yield. formally, it is defined as:(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt,with gs(b,t)≡∂fs(b,t)∂b being the instantaneous magnetic sensitivity. the functional form of fs(b,t)=sρel(t)s strongly depends on the specific realization of the radical pair, in particular on the number of the surrounding nuclear spins.","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"formally, it is defined as:(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt,with gs(b,t)≡∂fs(b,t)∂b being the instantaneous magnetic sensitivity. the functional form of fs(b,t)=sρel(t)s strongly depends on the specific realization of the radical pair, in particular on the number of the surrounding nuclear spins. here, we consider a radical pair in which the first electron spin is devoid of hyperfine interactions, while the second electron spin interacts isotropically with one spin-1 nucleus, e.g. nitrogen.","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0]"
